74,MIA,RB,Chase,Edmonds,0.89,28,74,19.95,75.5,1.5,21.03,163.96,142.93,26,100,11,40.98,1.08
75,CLE,WR,Amari,Cooper,0.53,30,75,16.72,76,1,13.19,165.59,152.4,23,98,9,29.91,-3.53
76,BAL,WR,Rashod,Bateman,0.16,31,76,20.54,78,2,9.99,162.39,152.4,22,98,10,30.53,-10.55
77,TB,WR,Chris,Godwin,0.58,32,77,20.53,79,2,20.38,172.78,152.4,21,98,11,40.92,-0.15
78,PHI,RB,Miles,Sanders,0.94,29,78,17.34,80,2,35.24,178.17,142.93,22,100,7,52.57,17.9
79,CHI,WR,Darnell,Mooney,0.79,33,79,4.11,81.5,2.5,22.79,175.19,152.4,19,98,14,26.9,18.68
80,BUF,TE,Dawson,Knox,0.85,9,80,10.61,81.5,1.5,-1.18,123.77,124.95,14,94,7,9.43,-11.8
81,HOU,RB,Dameon,Pierce,0,30,81,10.04,82.5,1.5,26.71,169.64,142.93,19,100,6,36.75,16.67
82,BUF,RB,Devin,Singletary,0.91,31,82,18.51,83,1,22.69,165.62,142.93,18,100,7,41.2,4.19
83,BUF,DST,Buf,Bills,0,1,83,15.52,84.5,1.5,0,113.93,113.93,14,97,7,15.52,-15.52
84,SEA,RB,Rashaad,Penny,0.66,32,84,27.97,85.5,1.5,18.88,161.81,142.93,16,100,11,46.85,-9.09
85,DAL,RB,Tony,Pollard,0.49,33,85,13.34,87,2,27.8,170.73,142.93,15,100,9,41.14,14.45
86,CLE,RB,Kareem,Hunt,0.2,34,86,20.36,88,2,5.14,148.06,142.93,14,100,9,25.49,-15.22
87,DAL,QB,Dak,Prescott,0.11,10,87,24.02,89,2,29.51,369.95,340.44,12,99,9,53.53,5.49
88,LV,WR,Hunter,Renfrow,0.63,34,88,19.92,89,1,16.37,168.77,152.4,10,98,6,36.29,-3.56
89,ATL,RB,Cordarrelle,Patterson,0.89,35,89,17.31,90.5,1.5,21.18,164.11,142.93,11,100,14,38.49,3.87
90,NE,RB,Rhamondre,Stevenson,0.25,36,90,31.96,92,2,16.32,159.25,142.93,10,100,10,48.28,-15.63
91,ARI,WR,Deandre,Hopkins,0.58,35,91,19.17,93,2,-13.94,138.46,152.4,7,98,13,5.23,-33.11
92,GB,QB,Aaron,Rodgers,0.14,11,92,15.05,93,1,15.61,356.05,340.44,7,99,14,30.67,0.56
93,NYJ,WR,Elijah,Moore,0.16,36,93,21.55,93.5,0.5,16.15,168.55,152.4,5,98,10,37.7,-5.41
94,ARI,TE,Zach,Ertz,0.89,10,94,12.03,96.5,2.5,1.4,126.35,124.95,0,94,13,13.43,-10.64
95,PHI,WR,Devonta,Smith,0.89,37,95,14.9,97,2,0,152.4,152.4,3,98,7,14.9,-14.9
96,SF,WR,Brandon,Aiyuk,0.51,38,96,9.16,97,1,-2.88,149.52,152.4,2,98,9,6.28,-12.04
97,TB,DST,Tb,Buccaneers,0,2,97,5.92,97.5,0.5,1.34,115.27,113.93,0,97,11,7.25,-4.58
98,GB,WR,Allen,Lazard,0.15,39,98,11.49,98,0,-4.36,148.04,152.4,0,98,14,7.13,-15.85
99,SF,QB,Trey,Lance,0.1,12,99,23.63,99,0,-0.78,339.65,340.44,0,99,9,22.84,-24.41
100,DEN,RB,Melvin,Gordon,0.92,37,100,9.13,101.5,1.5,-0.05,142.88,142.93,0,100,9,9.08,-9.18
101,SEA,RB,Ken,Walker,0,38,101,31.33,102,1,-31.05,111.88,142.93,-1,100,11,0.29,-62.38
102,LAR,QB,Matthew,Stafford,0.12,13,102,24.53,102.5,0.5,9.3,349.74,340.44,-3,99,7,33.82,-15.23
103,SF,DST,Sf,49Ers,0,3,103,12.82,103.5,0.5,-4.87,109.07,113.93,-6,97,9,7.95,-17.69
104,BAL,K,Justin,Tucker,0,1,104,11.01,105,1,0,145.63,145.63,0,104,10,11.01,-11.01
105,JAC,WR,Christian,Kirk,0.84,40,105,9.39,105.5,0.5,0.22,152.62,152.4,-7,98,11,9.61,-9.18
106,ATL,WR,Drake,London,0,41,106,15.48,107.5,1.5,-4.28,148.12,152.4,-8,98,14,11.2,-19.76
107,LAR,DST,Lar,Rams,0,4,107,9.1,109.5,2.5,-3.56,110.38,113.93,-10,97,7,5.54,-12.66
108,BUF,RB,James,Cook,0,39,108,22,109.5,1.5,-27.5,115.43,142.93,-8,100,7,-5.5,-49.5
109,SEA,WR,Tyler,Lockett,0.49,42,109,23,109.5,0.5,16.19,168.59,152.4,-11,98,11,39.19,-6.81
110,CIN,K,Evan,Mcpherson,0,2,110,15.91,111.5,1.5,-7.65,137.98,145.63,-6,104,10,8.26,-23.56
111,PIT,TE,Pat,Freiermuth,0.13,11,111,8.09,113.5,2.5,-7.66,117.29,124.95,-17,94,9,0.43,-15.76
112,TEN,WR,Robert,Woods,0.91,43,112,15.4,114,2,10.19,162.59,152.4,-14,98,6,25.59,-5.21
113,LV,QB,Derek,Carr,0.36,14,113,21.26,117,4,-9.19,331.25,340.44,-14,99,6,12.07,-30.45
114,NO,WR,Chris,Olave,0,44,114,15.16,117.5,3.5,-28.19,124.21,152.4,-16,98,14,-13.03,-43.35
115,CHI,TE,Cole,Kmet,0.63,12,115,17.8,119.5,4.5,-8.4,116.55,124.95,-21,94,14,9.4,-26.2
116,NYJ,RB,Michael,Carter,0.19,40,116,39.06,121,5,0,142.93,142.93,-16,100,10,39.06,-39.06
117,LV,K,Daniel,Carlson,0,3,117,15.78,122,5,-1.3,144.33,145.63,-13,104,6,14.49,-17.08
118,LAR,RB,Darrell,Henderson,0.91,41,118,22.99,122,4,-28.67,114.26,142.93,-18,100,7,-5.68,-51.66
119,NYG,WR,Kadarius,Toney,0.85,45,119,17.8,123,4,-10.43,141.97,152.4,-21,98,9,7.37,-28.23
120,JAC,RB,James,Robinson,0.72,42,120,23.55,123,3,-19.89,123.04,142.93,-20,100,11,3.66,-43.43
121,PIT,WR,George,Pickens,0,46,121,12.08,123.5,2.5,-35.55,116.85,152.4,-23,98,9,-23.47,-47.63
122,BUF,K,Tyler,Bass,0,4,122,17.99,124.5,2.5,-7.38,138.25,145.63,-18,104,7,10.61,-25.37
123,MIN,QB,Kirk,Cousins,0.05,15,123,14.51,125,2,-7.37,333.07,340.44,-24,99,7,7.14,-21.88
124,KC,K,Harrison,Butker,0,5,124,9.22,126.5,2.5,-1.49,144.14,145.63,-20,104,8,7.73,-10.72
125,MIN,RB,Alexander,Mattison,0.45,43,125,9.58,127.5,2.5,-43.93,99,142.93,-25,100,7,-34.34,-53.51
126,LAR,K,Matt,Gay,0,6,126,14.71,128,2,-2.42,143.21,145.63,-22,104,7,12.29,-17.13
127,IND,DST,Ind,Colts,0,5,127,9.33,128.5,1.5,-7.18,106.76,113.93,-30,97,14,2.15,-16.5
