99,SEA,RB,Ken,Walker,0,38,99,0,91,-8,-22.68,109.58,132.26,-9,,90
100,LAR,QB,Matthew,Stafford,0.12,12,100,0,94,-6,9.52,316.142,306.622,1,,101
101,GB,QB,Aaron,Rodgers,0.14,13,101,0,92,-9,11.166,317.788,306.622,0,,101
102,ARI,WR,Deandre,Hopkins,0.58,42,102,0,96,-6,-13.87,136.29,150.16,-5,,97
103,TEN,WR,Robert,Woods,0.91,43,103,0,105,2,13.36,163.52,150.16,-6,,97
104,BUF,RB,James,Cook,0,39,104,0,104,0,-17.52,114.74,132.26,-14,,90
105,BUF,TE,Dawson,Knox,0.85,10,105,0,88,-17,-3.91,120.64,124.55,0,,105
106,NYG,WR,Kadarius,Toney,0.85,44,106,0,116,10,-12.13,138.03,150.16,-9,,97
107,MIN,QB,Kirk,Cousins,0.05,14,107,0,119,12,-7.8,298.822,306.622,-6,,101
108,NYJ,RB,Michael,Carter,0.19,40,108,0,108,0,-9.9,122.36,132.26,-18,,90
109,LV,QB,Derek,Carr,0.36,15,109,0,107,-2,-10.88,295.742,306.622,-8,,101
110,CHI,TE,Cole,Kmet,0.63,11,110,0,126,16,-8.13,116.42,124.55,-5,,105
111,LAR,RB,Darrell,Henderson,0.91,41,111,0,118,7,-16.42,115.84,132.26,-21,,90
112,PIT,TE,Pat,Freiermuth,0.13,12,112,0,120,8,-7.42,117.13,124.55,-7,,105
113,NO,WR,Chris,Olave,0,45,113,0,109,-4,-26.37,123.79,150.16,-16,,97
114,JAC,RB,James,Robinson,0.72,42,114,0,114,0,-14.26,118,132.26,-24,,90
115,IND,RB,Nyheim,Hines,0.41,43,115,0,127,12,-29.59,102.67,132.26,-25,,90
116,PIT,WR,Chase,Claypool,0.37,46,116,0,113,-3,0.01,150.17,150.16,-19,,97
117,TEN,WR,Treylon,Burks,0,47,117,0,121,4,-12.78,137.38,150.16,-20,,97
118,MIN,RB,Alexander,Mattison,0.45,44,118,0,117,-1,-32.54,99.72,132.26,-28,,90
119,PHI,RB,Kenneth,Gainwell,0.11,45,119,0,149,30,-24.42,107.84,132.26,-29,,90
120,CIN,WR,Tyler,Boyd,0.72,48,120,0,132,12,-18.01,132.15,150.16,-23,,97
121,NYJ,WR,Garrett,Wilson,0,49,121,0,122,1,-25.8,124.36,150.16,-24,,97
122,TB,WR,Russell,Gage,0.7,50,122,0,124,2,-15.85,134.31,150.16,-25,,97
123,NE,TE,Hunter,Henry,0.65,13,123,0,181,58,0,124.55,124.55,-18,,105
124,NE,WR,Jakobi,Meyers,0.35,51,124,0,157,33,-9.4,140.76,150.16,-27,,97
125,KC,WR,Skyy,Moore,0,52,125,0,141,16,-40.63,109.53,150.16,-28,,97
126,MIA,QB,Tua,Tagovailoa,0.73,16,126,0,139,13,-23.778,282.844,306.622,-25,,101
127,WAS,RB,Brian,Robinson,0,46,127,0,112,-15,-9.88,122.38,132.26,-37,,90
128,MIA,TE,Mike,Gesicki,0.31,14,128,0,115,-13,-5.59,118.96,124.55,-23,,105
129,KC,WR,Marquez,Valdesscantling,0.17,53,129,0,138,9,-22.63,127.53,150.16,-32,,97
130,CHI,QB,Justin,Fields,0.13,17,130,0,147,17,-36.476,270.146,306.622,-29,,101
131,DET,RB,Jamaal,Williams,0.91,47,131,0,168,37,-27.08,105.18,132.26,-41,,90
132,CHI,RB,Khalil,Herbert,0.29,48,132,0,158,26,-52.49,79.77,132.26,-42,,90
133,WAS,RB,Jd,Mckissic,0.09,49,133,0,164,31,-34.6,97.66,132.26,-43,,90
134,MIN,TE,Irv,Smith,0.22,15,134,0,172,38,-16.88,107.67,124.55,-29,,105
135,JAC,QB,Trevor,Lawrence,0.09,18,135,0,166,31,-31.376,275.246,306.622,-34,,101
136,NO,WR,Jarvis,Landry,0.69,54,136,0,145,9,-21.12,129.04,150.16,-39,,97
137,NE,WR,Devante,Parker,0.84,55,137,0,154,17,-18.75,131.41,150.16,-40,,97
138,DEN,TE,Albert,Okwuegbunam,0.9,16,138,0,129,-9,-22.3,102.25,124.55,-33,,105
139,DAL,WR,Michael,Gallup,0.78,56,139,0,176,37,-25.79,124.37,150.16,-42,,97
140,PIT,WR,George,Pickens,0,57,140,0,134,-6,-35.96,114.2,150.16,-43,,97
141,ARI,WR,Rondale,Moore,0.82,58,141,0,151,10,-41.28,108.88,150.16,-44,,97
142,CLE,TE,David,Njoku,0.81,17,142,0,171,29,-12.64,111.91,124.55,-37,,105
143,ATL,RB,Tyler,Allgeier,0,50,143,0,156,13,-41.9,90.36,132.26,-53,,90
144,SEA,TE,Noah,Fant,0.89,18,144,0,195,51,-6.95,117.6,124.55,-39,,105
145,DET,WR,Dj,Chark,0,59,145,0,161,16,-33.34,116.82,150.16,-48,,97
146,MIA,RB,Raheem,Mostert,0.92,51,146,0,155,9,-31.23,101.03,132.26,-56,,90
147,TB,WR,Julio,Jones,0.91,60,147,0,143,-4,-44.38,105.78,150.16,-50,,97
148,TB,RB,Rachaad,White,0,52,148,0,142,-6,-42.4,89.86,132.26,-58,,90
149,IND,QB,Matt,Ryan,0.1,19,149,0,177,28,-43.602,263.02,306.622,-48,,101
150,NO,QB,Jameis,Winston,0.29,20,150,0,183,33,-48.392,258.23,306.622,-49,,101
151,NYG,WR,Kenny,Golladay,0.9,61,151,0,146,-5,-16.17,133.99,150.16,-54,,97
152,LAC,TE,Gerald,Everett,0.45,19,152,0,199,47,-15.16,109.39,124.55,-47,,105
153,WAS,WR,Jahan,Dotson,0,62,153,0,162,9,-35.77,114.39,150.16,-56,,97
154,GB,TE,Robert,Tonyan,0.54,20,154,0,188,34,-22.84,101.71,124.55,-49,,105
155,LAR,TE,Tyler,Higbee,0.79,21,155,0,214,59,-8.1,116.45,124.55,-50,,105
156,LAC,RB,Isaiah,Spiller,0,53,156,0,131,-25,-40.94,91.32,132.26,-66,,90
157,HOU,WR,Nico,Collins,0.16,63,157,0,205,48,-36.31,113.85,150.16,-60,,97
158,TEN,QB,Ryan,Tannehill,0.13,21,158,0,169,11,-29.114,277.508,306.622,-57,,101
159,JAC,TE,Evan,Engram,0.92,22,159,0,191,32,-23.77,100.78,124.55,-54,,105
160,TEN,TE,Austin,Hooper,0.22,23,160,0,221,61,-26.13,98.42,124.55,-55,,105
161,NYJ,WR,Corey,Davis,0.91,64,161,0,219,58,-35.62,114.54,150.16,-64,,97
162,BUF,DST,Buf,Bills,0,1,162,0,101,-61,-0.29,115.11,115.4,0,,162
163,NYG,QB,Daniel,Jones,0.61,22,163,0,240,77,-42.908,263.714,306.622,-62,,101
164,LAC,WR,Joshua,Palmer,0,65,164,0,213,49,-46.23,103.93,150.16,-67,,97
165,TB,DST,Tb,Buccaneers,0,2,165,0,111,-54,0,115.4,115.4,-3,,162
166,LV,RB,Zamir,White,0,54,166,0,194,28,-53.54,78.72,132.26,-76,,90
167,KC,WR,Mecole,Hardman,0.49,66,167,0,159,-8,-13.07,137.09,150.16,-70,,97
168,NE,QB,Mac,Jones,0.11,23,168,0,167,-1,-48.222,258.4,306.622,-67,,101
169,NO,RB,Mark,Ingram,0.81,55,169,0,175,6,-36.27,95.99,132.26,-79,,90
170,CAR,WR,Robbie,Anderson,0.81,67,170,0,218,48,-22.73,127.43,150.16,-73,,97
171,MIN,WR,Kj,Osborn,0,68,171,0,215,44,-42.14,108.02,150.16,-74,,97
172,HOU,RB,Marlon,Mack,0.8,56,172,0,153,-19,-42.6,89.66,132.26,-82,,90
173,SF,DST,Sf,49Ers,0,3,173,0,135,-38,-6.8,108.6,115.4,-11,,162
174,LAR,WR,Van,Jefferson,0.61,69,174,0,210,36,-39.84,110.32,150.16,-77,,97
175,JAC,WR,Marvin,Jones,0.88,70,175,0,220,45,-26.62,123.54,150.16,-78,,97
176,DET,WR,Jameson,Williams,0,71,176,0,174,-2,-65.59,84.57,150.16,-79,,97
177,IND,DST,Ind,Colts,0,4,177,0,136,-41,-8.4,107,115.4,-15,,162
178,WAS,TE,Logan,Thomas,0.23,24,178,0,247,69,-23.24,101.31,124.55,-73,,105
179,CIN,TE,Hayden,Hurst,0.51,25,179,0,212,33,-36.53,88.02,124.55,-74,,105
180,CAR,RB,Donta,Foreman,0,57,180,0,187,7,-65.9,66.36,132.26,-90,,90
181,MIA,RB,Sony,Michel,0.69,58,181,0,179,-2,-71.9,60.36,132.26,-91,,90
182,BAL,K,Justin,Tucker,0,1,182,0,106,-76,0,149.1,149.1,0,,182
183,DEN,DST,Den,Broncos,0,5,183,0,152,-31,-13.1,102.3,115.4,-21,,162
184,BAL,RB,Gus,Edwards,0.16,59,184,0,186,2,-49.35,82.91,132.26,-94,,90
185,GB,WR,Christian,Watson,0,72,185,0,163,-22,-63.34,86.82,150.16,-88,,97
186,NYG,WR,Wandale,Robinson,0,73,186,0,226,40,-73.61,76.55,150.16,-89,,97
187,NO,DST,No,Saints,0,6,187,0,140,-47,-5.5,109.9,115.4,-25,,162
188,DAL,WR,Jalen,Tolbert,0,74,188,0,165,-23,-38.33,111.83,150.16,-91,,97
189,ARI,RB,Darrel,Williams,0.8,60,189,0,180,-9,-55.96,76.3,132.26,-99,,90
190,LAR,DST,Lar,Rams,0,7,190,0,137,-53,-4.6,110.8,115.4,-28,,162
191,WAS,QB,Carson,Wentz,0.77,24,191,0,197,6,-53.852,252.77,306.622,-90,,101
192,NE,DST,Ne,Patriots,0,8,192,0,160,-32,-9.9,105.5,115.4,-30,,162
193,BUF,K,Tyler,Bass,0,2,193,0,148,-45,-4.9,144.2,149.1,-11,,182
194,DET,QB,Jared,Goff,0.45,25,194,0,209,15,-58.39,248.232,306.622,-93,,101
195,KC,RB,Isiah,Pacheco,0,61,195,0,150,-45,-70.18,62.08,132.26,-105,,90
196,LAR,K,Matt,Gay,0,3,196,0,144,-52,-2.5,146.6,149.1,-14,,182
197,DEN,WR,Kj,Hamler,0,75,197,0,246,49,-59.65,90.51,150.16,-100,,97
198,CLE,WR,Donovan,Peoplesjones,0,76,198,0,234,36,-44.16,106,150.16,-101,,97
199,NYJ,QB,Zach,Wilson,0.17,26,199,0,268,69,-67.086,239.536,306.622,-98,,101
200,BUF,WR,Jamison,Crowder,0.9,77,200,0,227,27,-67.56,82.6,150.16,-103,,97
201,WAS,WR,Curtis,Samuel,0.74,78,201,0,230,29,-44.79,105.37,150.16,-104,,97
202,LAC,DST,Lac,Chargers,0,9,202,0,200,-2,-6.4,109,115.4,-40,,162
203,BUF,WR,Isaiah,Mckenzie,0,79,203,0,185,-18,-77.89,72.27,150.16,-106,,97
204,PHI,RB,Boston,Scott,0,62,204,0,257,53,-73.4,58.86,132.26,-114,,90
205,IND,WR,Parris,Campbell,0.33,80,205,0,266,61,-45.45,104.71,150.16,-108,,97
206,DAL,DST,Dal,Cowboys,0,10,206,0,125,-81,-3.1,112.3,115.4,-44,,162
207,CIN,K,Evan,Mcpherson,0,4,207,0,123,-84,-6.1,143,149.1,-25,,182
208,NE,WR,Kendrick,Bourne,0.11,81,208,0,276,68,-55.71,94.45,150.16,-111,,97
209,HOU,TE,Brevin,Jordan,0.82,26,209,0,284,75,-44.95,79.6,124.55,-104,,105
210,KC,RB,Ronald,Jones,0.64,63,210,0,130,-80,-78.23,54.03,132.26,-120,,90
211,IND,WR,Alec,Pierce,0,82,211,0,216,5,-53.4,96.76,150.16,-114,,97
212,LV,K,Daniel,Carlson,0,5,212,0,128,-84,-0.1,149,149.1,-30,,182
213,CAR,QB,Baker,Mayfield,0.12,27,213,0,184,-29,-65.142,241.48,306.622,-112,,101
214,CLE,WR,David,Bell,0,83,214,0,242,28,-78.3,71.86,150.16,-117,,97
215,MIA,DST,Mia,Dolphins,0,11,215,0,201,-14,-5.8,109.6,115.4,-53,,162
216,GB,DST,Gb,Packers,0,12,216,0,189,-27,-3.6,111.8,115.4,-54,,162
217,HOU,QB,Davis,Mills,0.13,28,217,0,237,20,-75.61,231.012,306.622,-116,,101
218,CIN,RB,Samaje,Perine,0.43,64,218,0,265,47,-74.61,57.65,132.26,-128,,90
219,ARI,WR,Aj,Green,0.59,84,219,0,271,52,-64.21,85.95,150.16,-122,,97
220,TB,K,Ryan,Succop,0,6,220,0,207,-13,-4.4,144.7,149.1,-38,,182
221,KC,DST,Kc,Chiefs,0,13,221,0,231,10,-11.1,104.3,115.4,-59,,162
222,KC,K,Harrison,Butker,0,7,222,0,133,-89,-2.1,147,149.1,-40,,182
223,SF,RB,Tyrion,Davisprice,0,65,223,0,225,2,-85.86,46.4,132.26,-133,,90
224,NYG,WR,Sterling,Shepard,0.61,85,224,0,307,83,-50.69,99.47,150.16,-127,,97
225,GB,WR,Romeo,Doubs,0,86,225,0,170,-55,-75.66,74.5,150.16,-128,,97
226,CLE,DST,Cle,Browns,0,14,226,0,233,7,-10,105.4,115.4,-64,,162
227,CAR,RB,Chuba,Hubbard,0.49,66,227,0,245,18,-85.12,47.14,132.26,-137,,90
228,ATL,RB,Damien,Williams,0.92,67,228,0,272,44,-64.33,67.93,132.26,-138,,90
229,ARI,K,Matt,Prater,0,8,229,0,198,-31,-7,142.1,149.1,-47,,182
230,BAL,DST,Bal,Ravens,0,15,230,0,173,-57,-13.7,101.7,115.4,-68,,162
231,IND,TE,Mo,Aliecox,0.8,27,231,0,293,62,-45.18,79.37,124.55,-126,,105
232,KC,RB,Jerick,Mckinnon,0.57,68,232,0,285,53,-56.03,76.23,132.26,-142,,90
233,SF,RB,Jeff,Wilson,0,69,233,0,239,6,-91.54,40.72,132.26,-143,,90
234,PIT,DST,Pit,Steelers,0,16,234,0,206,-28,-1.9,113.5,115.4,-72,,162
235,MIA,K,Jason,Sanders,0,9,235,0,258,23,-18.4,130.7,149.1,-53,,182
236,CLE,RB,Dernest,Johnson,0,70,236,0,250,14,-92.73,39.53,132.26,-146,,90
237,NE,TE,Jonnu,Smith,0.89,28,237,0,283,46,-64.35,60.2,124.55,-132,,105
238,PHI,DST,Phi,Eagles,0,17,238,0,236,-2,-15.8,99.6,115.4,-76,,162
239,IND,K,Rodrigo,Blankenship,0,10,239,0,193,-46,-7.8,141.3,149.1,-57,,182
240,ATL,QB,Marcus,Mariota,0.4,29,240,0,296,56,-94.3,212.322,306.622,-139,,101
241,JAC,WR,Laviska,Shenault,0.7,87,241,0,275,34,-68.28,81.88,150.16,-144,,97
242,ATL,K,Younghoe,Koo,0,11,242,0,196,-46,-15.6,133.5,149.1,-60,,182
243,JAC,WR,Zay,Jones,0.49,88,243,0,291,48,-64.96,85.2,150.16,-146,,97
244,NE,K,Nick,Folk,0,12,244,0,204,-40,-6.8,142.3,149.1,-62,,182
245,CAR,WR,Terrace,Marshall,0.58,89,245,0,301,56,-84.71,65.45,150.16,-148,,97
